ticker,type,shares,region,currency,sector,prev_close_local,today_close_local,pnl_local,prev_mv_local,today_mv_local,prev_mv_local_signed,today_mv_local_signed,pnl_report,today_mv_report,prev_mv_report,today_mv_report_signed,prev_mv_report_signed
9988.HK,long,109000,HK,HKD,Consumer Discretionary,154.89999389648438,154.0,-98099.33471679688,16884099.334716797,16786000.0,16884099.334716797,16786000.0,-18422607.886233643,3152334283.1128144,3170756890.999048,3152334283.1128144,3170756890.999048
GOOG,long,5000,US,USD,Communication Services,276.9800109863281,276.9800109863281,0.0,1384900.0549316406,1384900.0549316406,1384900.0549316406,1384900.0549316406,0.0,2021372361.3172584,2021372361.3172584,2021372361.3172584,2021372361.3172584
META,long,1700,US,USD,Communication Services,609.4600219726562,609.4600219726562,0.0,1036082.0373535156,1036082.0373535156,1036082.0373535156,1036082.0373535156,0.0,1512244574.5494955,1512244574.5494955,1512244574.5494955,1512244574.5494955
3690.HK,long,80000,HK,HKD,Consumer Discretionary,100.0,99.94999694824219,-4000.244140625,8000000.0,7995999.755859375,8000000.0,7995999.755859375,-751227.6149954335,1501612305.3828907,1502363532.9978862,1501612305.3828907,1502363532.9978862
6181.HK,long,12100,HK,HKD,Consumer Discretionary,663.5,664.5,12100.0,8028350.0,8040450.0,8028350.0,8040450.0,2272324.8436593027,1509959858.6116066,1507687533.7679474,1509959858.6116066,1507687533.7679474
LYB,long,23000,US,USD,Materials,45.29999923706055,45.29999923706055,0.0,1041899.9824523926,1041899.9824523926,1041899.9824523926,1041899.9824523926,0.0,1520736330.6012428,1520736330.6012428,1520736330.6012428,1520736330.6012428
NXE,long,100000,US,USD,Energy,8.170000076293945,8.170000076293945,0.0,817000.0076293945,817000.0076293945,817000.0076293945,817000.0076293945,0.0,1192476835.232391,1192476835.232391,1192476835.232391,1192476835.232391
9961.HK,long,12000,HK,HKD,Consumer Discretionary,576.0,548.0,-336000.0,6912000.0,6576000.0,6912000.0,6576000.0,-63099268.38591121,1234942824.1242623,1298042092.5101736,1234942824.1242623,1298042092.5101736
INTC,long,22000,US,USD,Information Technology,35.52000045776367,35.52000045776367,0.0,781440.0100708008,781440.0100708008,781440.0100708008,781440.0100708008,0.0,1140574175.5585139,1140574175.5585139,1140574175.5585139,1140574175.5585139
GLD,long,2100,US,USD,N/A,375.9599914550781,375.9599914550781,0.0,789515.9820556641,789515.9820556641,789515.9820556641,789515.9820556641,0.0,1152361702.3932796,1152361702.3932796,1152361702.3932796,1152361702.3932796
6762.T,long,50000,JP,JPY,Information Technology,2535.5,2526.0,-475000.0,126775000.0,126300000.0,126775000.0,126300000.0,-4483464.189167757,1192129530.7197635,1196612994.9089313,1192129530.7197635,1196612994.9089313
BAGY,long,17000,US,USD,N/A,41.000999450683594,41.000999450683594,0.0,697016.9906616211,697016.9906616211,697016.9906616211,697016.9906616211,0.0,1017352028.5992595,1017352028.5992595,1017352028.5992595,1017352028.5992595
8031.T,long,30000,JP,JPY,Industrials,4103.0,4063.0,-1200000.0,123090000.0,121890000.0,123090000.0,121890000.0,-11326646.372634333,1150504105.3003323,1161830751.6729665,1150504105.3003323,1161830751.6729665
0522.HK,long,69000,HK,HKD,Information Technology,77.9000015258789,77.9000015258789,0.0,5375100.1052856445,5375100.1052856445,5375100.1052856445,5375100.1052856445,0.0,1009419298.0492812,1009419298.0492812,1009419298.0492812,1009419298.0492812
AR,long,20000,US,USD,Energy,34.36000061035156,34.36000061035156,0.0,687200.0122070312,687200.0122070312,687200.0122070312,687200.0122070312,0.0,1003023363.6179194,1003023363.6179194,1003023363.6179194,1003023363.6179194
UNH,long,2000,US,USD,Health Care,321.8599853515625,321.8599853515625,0.0,643719.970703125,643719.970703125,643719.970703125,643719.970703125,0.0,939560766.5503919,939560766.5503919,939560766.5503919,939560766.5503919
SNOW,long,2000,US,USD,Information Technology,257.0199890136719,257.0199890136719,0.0,514039.97802734375,514039.97802734375,514039.97802734375,514039.97802734375,0.0,750282448.5395029,750282448.5395029,750282448.5395029,750282448.5395029
MELI,long,240,US,USD,Consumer Discretionary,2048.889892578125,2048.889892578125,0.0,491733.57421875,491733.57421875,491733.57421875,491733.57421875,0.0,717724468.6488175,717724468.6488175,717724468.6488175,717724468.6488175
LLY,long,500,US,USD,Health Care,1025.280029296875,1025.280029296875,0.0,512640.0146484375,512640.0146484375,512640.0146484375,512640.0146484375,0.0,748239090.0524408,748239090.0524408,748239090.0524408,748239090.0524408
ONON,long,13000,US,USD,Consumer Discretionary,42.400001525878906,42.400001525878906,0.0,551200.0198364258,551200.0198364258,551200.0198364258,551200.0198364258,0.0,804520500.7301933,804520500.7301933,804520500.7301933,804520500.7301933
IBN,long,10000,US,USD,Financials,31.149999618530273,31.149999618530273,0.0,311499.99618530273,311499.99618530273,311499.99618530273,311499.99618530273,0.0,454659150.7431795,454659150.7431795,454659150.7431795,454659150.7431795
MTSR,long,1246,US,USD,Health Care,70.5,70.5,0.0,87843.0,87843.0,87843.0,87843.0,0.0,128213882.07971191,128213882.07971191,128213882.07971191,128213882.07971191
