period,sector,weight_pct
Current,Communication Services,13.671235935964754
Current,Consumer Discretionary,34.51289641836993
Current,Energy,8.494186483905834
Current,Financials,1.7590340529457313
Current,Health Care,7.025988593297454
Current,Industrials,4.450819547859579
Current,Information Technology,15.807830225441787
Current,Materials,5.883587708961234
Current,N/A,8.3944210332537
1W,Communication Services,13.988439946723672
1W,Consumer Discretionary,34.178487342595545
1W,Energy,8.641256727758993
1W,Financials,1.6800906313099175
1W,Health Care,6.720778910262158
1W,Industrials,4.356467259709404
1W,Information Technology,16.208822621196752
1W,Materials,5.44554185120833
1W,N/A,8.780114709235235
1M,Communication Services,13.879029635573186
1M,Consumer Discretionary,35.03567437964632
1M,Energy,8.137572787785308
1M,Financials,1.8377322660245266
1M,Health Care,6.583544504179876
1M,Industrials,4.070551080805761
1M,Information Technology,15.59103486063735
1M,Materials,5.926993475425918
1M,N/A,8.937867009921755
3M,Communication Services,13.802265658105592
3M,Consumer Discretionary,36.55640320093903
3M,Energy,7.645489802431121
3M,Financials,2.0177623694447937
3M,Health Care,6.00788561978778
3M,Industrials,4.0262813070093735
3M,Information Technology,13.032453710587463
3M,Materials,7.5562705700924155
3M,N/A,9.355187761602442
6M,Communication Services,11.769189559184515
6M,Consumer Discretionary,39.64652856543506
6M,Energy,8.70874855179364
6M,Financials,2.101711915891033
6M,Health Care,5.99263812602436
6M,Industrials,3.739270907907614
6M,Information Technology,11.281851385934532
6M,Materials,7.578521888965666
6M,N/A,9.181539098863583
